rowname	genename	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name.GENENAME	MUT_12DPA_R1	MUT_12DPA_R2	MUT_12DPA_R3	WT_12DPA_R1	WT_12DPA_R2	MUT_14DPA_R1	MUT_14DPA_R2	MUT_14DPA_R3	WT_14DPA_R1	WT_14DPA_R2
ENSMUSG00000001349	NA	61.2667723870732	-2.09528388625522	0.62845288637584	-3.33403494785153	0.000855959024618663	0.00355333937064403	Cnn1	0.45	0.12	0.49	0.73	0.7	0.03	0.09	0.02	0.63	0.58
ENSMUSG00000001493	NA	167.949406521597	-1.96496109827119	0.261754439042682	-7.50688739208269	6.05497689350973e-14	2.7109043054141e-12	Meox1	0.36	0.43	0.66	1.26	1.39	0.16	0.45	0.4	1.12	1.14
ENSMUSG00000001494	NA	14.9806254659481	-2.83717872296015	0.916480199547342	-3.09573379147903	0.00196326533822929	0.00720065716983237	Sost	0.02	0.03	0.01	0.12	0.01	0	0.06	0.02	0.23	0.13
ENSMUSG00000001504	NA	395.14508763511	2.53190879636487	0.299528348811582	8.45298552344226	2.83946895174537e-17	2.02967190520683e-15	Irx2	2.93	4.8	4.73	0.29	0.61	3.14	1.54	1.77	0.17	0.56
ENSMUSG00000001506	NA	484697.757650974	-1.7333913113477	0.326787281067256	-5.30434142261172	1.13080494191955e-07	1.36179004393854e-06	Col1a1	458.84	590.92	745.39	1311.27	1753.4	149.76	618.57	274.91	1015.87	788.96
ENSMUSG00000001508	NA	10.634436515978	-2.88085626792931	0.709563037186131	-4.06004275441649	4.90637309946786e-05	0.000297797536339786	Sgca	0.06	0.03	0.05	0.25	0.19	0	0.2	0	0.25	0.18
ENSMUSG00000001804	NA	11765.1399972804	-4.29907304507279	0.261320240466481	-16.4513588285337	8.20075535635587e-61	1.36583580460107e-57	Dsg4	4.42	6.36	7.32	47.53	109.47	3.67	3.13	2.78	32.91	96.59
ENSMUSG00000001901	NA	36.186495980599	-1.59740963893155	0.605648723761002	-2.63751837700877	0.0083515100324823	0.0245576270464323	Kcnh6	0.15	0.26	0.03	0.36	0.21	0.05	0.17	0.03	0.07	0.24
ENSMUSG00000001943	NA	13.7805412928564	-1.70807758612505	0.493868160059123	-3.45856996717619	0.000543051202487892	0.00240545685570102	Vsig2	0.15	0.29	0.24	0.48	0.29	0.04	0.29	0.09	0.35	0.32
ENSMUSG00000001946	NA	471.067288142365	-1.87269429401432	0.248777151377829	-7.52759762559614	5.16823652127167e-14	2.33904834950488e-12	Esam	1.38	1.94	2.5	3.83	6.53	0.64	1.84	1.33	3.35	5.18
ENSMUSG00000002033	NA	8.32706764598968	1.85905672724979	0.725264075801087	2.56328251912434	0.0103687637870369	0.0294043522685338	Cd3g	0.19	0.21	0.05	0.01	0.07	0.09	0.13	0.42	0.04	0.02
ENSMUSG00000002057	NA	6354.2691984946	-1.74591295850053	0.30163575346668	-5.78814990741271	7.11658875127485e-09	1.13749314445761e-07	Foxn1	10.97	16.13	15.61	25	69.17	11.11	6.6	9.52	12.12	23.75
ENSMUSG00000002190	NA	8.5016696215956	-3.41911779283191	0.911550589591322	-3.75088100635733	0.000176214317558172	0.000899984501358896	Clgn	0	0	0.01	0.03	0.06	0	0.02	0	0.05	0.06
ENSMUSG00000002732	NA	456.040054252963	-1.6764172884854	0.268134050226761	-6.25216113756403	4.04811396591322e-10	8.51279521493494e-09	Fkbp7	5.55	3.37	6.58	12.07	12.57	1.91	5.34	3.2	8.78	8.56
ENSMUSG00000002831	NA	10.8976476922471	-1.67546305031414	0.553260031501788	-3.02834644636484	0.00245896007425138	0.00870065435238085	Plin4	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0	0.02	0.04
ENSMUSG00000002847	NA	67.2613375164368	-1.97466921268199	0.501297318451456	-3.93911784483884	8.17817554421053e-05	0.000460627371284499	Pla1a	0.34	0.6	0.32	0.41	0.4	0.09	0.19	0.03	0.99	0.58
ENSMUSG00000003228	NA	386.21432627375	-1.6660190461826	0.285616995914877	-5.83305289955199	5.44223045050463e-09	8.90376700915075e-08	Grk5	0.34	0.68	0.78	0.95	1.12	0.14	0.39	0.41	0.88	1.06
ENSMUSG00000003484	NA	87.1958058463457	4.07377187707212	0.643726017790517	6.328425082234	2.47676055909971e-10	5.50740281866565e-09	Cyp4f18	0.46	1.1	4.28	0.2	0.02	0.7	0.81	0.97	0.16	0
ENSMUSG00000003555	NA	410.330348862551	1.71318278520296	0.234129151315664	7.31725535062983	2.53093975507127e-13	1.00363813382648e-11	Cyp17a1	2.98	4.49	2.79	0.81	0.99	3.43	4.15	3	0.77	1.37
ENSMUSG00000003559	NA	50.0020889872833	-1.58155605384099	0.343956374355104	-4.59812979714741	4.26300391106267e-06	3.44494566417995e-05	As3mt	0.22	0.29	0.43	0.49	0.54	0.05	0.16	0.17	0.44	0.38
ENSMUSG00000003657	NA	10.6490274398525	2.54522292281931	0.869590140582514	2.92692247075655	0.00342334207060676	0.0115323143580007	Calb2	0.22	0.26	0.25	0	0	0.05	0.08	0.08	0.02	0.05
ENSMUSG00000004110	NA	56.3302020427902	1.51043837119428	0.371795112240108	4.06255575038013	4.85383503034766e-05	0.000295038767994308	Cacna1e	0.27	0.11	0.05	0.02	0.05	0.13	0.08	0.09	0.01	0.05
ENSMUSG00000004113	NA	53.2799277137679	-2.97428934722698	0.334295204167557	-8.89719418689654	5.72762366738626e-19	5.24140506485265e-17	Cacna1b	0.02	0.03	0.02	0.16	0.51	0.01	0.05	0.02	0.08	0.13
ENSMUSG00000004359	NA	5.2794004994465	-2.09608612135146	0.824725846432064	-2.54155502755196	0.0110360572697608	0.0309423300868424	Spic	0.01	0.01	0.1	0.1	0.08	0	0.01	0.01	0.02	0.05
ENSMUSG00000004360	NA	76.4569544275158	-1.66619926080994	0.3819196796784	-4.36269548145041	1.28469706491959e-05	9.08448468636444e-05	9330159F19Rik	0.11	0.16	0.1	0.08	0.3	0.11	0.12	0.09	0.29	0.38
ENSMUSG00000004366	NA	4.5898508103244	-4.4736050747379	1.13323744234135	-3.94763260336254	7.89278032835471e-05	0.000446819362232317	Sst	0	0.05	0	0.24	0.09	0	0	0.02	0.14	0.24
ENSMUSG00000004415	NA	618.345806899376	-3.17247737909612	0.4023581396614	-7.88471032738615	3.15265981461734e-15	1.66163130419151e-13	Col26a1	1.4	0.51	0.18	3.64	6.65	0.54	1.03	0.43	3.74	4.13
ENSMUSG00000004651	NA	120.538629236386	9.99325607508226	1.32562754327329	7.5385096860665	4.75372678411438e-14	2.16913204354589e-12	Tyr	0.15	0.12	1.22	0	0	0.74	0.69	0.31	0	0
ENSMUSG00000004655	NA	6457.02934503181	-1.51537285379531	0.269723655149263	-5.6182423190013	1.92909825514295e-08	2.76498549392477e-07	Aqp1	11.61	21.89	17.41	34.68	40.38	7.17	20.44	17.24	31.96	35.96
ENSMUSG00000004661	NA	160.405426139893	-2.57587690688003	0.373348634876077	-6.89938750609073	5.22272272201908e-12	1.6078455995421e-10	Arid3b	0.3	0.26	0.43	0.93	1.47	0.08	0.11	0.1	0.38	1.01
ENSMUSG00000004892	NA	40.356564392661	-3.23530350921577	0.748503299692259	-4.32236372310709	1.54366430977327e-05	0.000107123871163641	Bcan	0.08	0.07	0.09	0.27	0.34	0	0.08	0	0.55	0.34
ENSMUSG00000005124	NA	1804.26524574593	-1.81594679607079	0.35737787501893	-5.08130727447692	3.74846197102112e-07	3.96133465275106e-06	Wisp1	2.89	2.06	4.54	7.17	8.57	0.56	1.78	1.18	3.21	4.66
ENSMUSG00000005131	NA	34.2256938510716	-3.48726216566631	0.430117329212897	-8.10769975729159	5.15870157326876e-16	3.01467279658917e-14	4930550C14Rik	0.1	0.07	0.11	0.28	0.57	0.02	0.09	0.07	0.23	0.45
ENSMUSG00000005220	NA	94.2793270739961	-3.08942982539223	0.486090856018798	-6.35566332330424	2.07529117304673e-10	4.64569549557705e-09	Corin	0.04	0.08	0.17	0.33	0.78	0.03	0.04	0.02	0.22	0.47
ENSMUSG00000005373	NA	11.8247988779871	1.83995724971751	0.532830910269923	3.45317288140326	0.000554033807881672	0.00245019465487765	Mlxipl	0.12	0.09	0.07	0.02	0.01	0.05	0.05	0.07	0	0.02
ENSMUSG00000005397	NA	5612.79343930375	-1.50425355715967	0.215666082633273	-6.97491946249868	3.06046087524819e-12	9.93061625855786e-11	Nid1	4.96	7.73	6.63	13.41	18.65	3.16	6.98	5.08	10.03	10.28
ENSMUSG00000005547	NA	8.2575753487915	3.2086898758626	1.23337541082641	2.60155168304567	0.00928030805430439	0.0268153245392851	Cyp2a5	0.51	0.15	0.06	0	0	0.11	0.02	0.11	0	0.1
ENSMUSG00000005583	NA	1246.76331493973	-1.97005272167238	0.327148581356894	-6.02188985048113	1.7239220493878e-09	3.18667277830787e-08	Mef2c	2.26	1.98	2.24	6.29	7.6	0.77	3.39	1.46	4.46	3.84
ENSMUSG00000005611	NA	89.0951379751517	-1.65405076867169	0.284571569897347	-5.81242451334245	6.15744522936872e-09	9.99534603266433e-08	Mrvi1	0.24	0.27	0.1	0.3	0.21	0.11	0.18	0.07	0.31	0.21
ENSMUSG00000005824	NA	7.11928564025709	2.14665252341579	0.877215078651727	2.44712223450967	0.0144001992626338	0.0384289887388505	Tnfsf14	0.06	0.02	0.24	0.01	0.01	0.02	0.04	0.05	0.01	0.02
ENSMUSG00000005836	NA	48.0840735868889	-1.92008864092164	0.428936493004827	-4.47639376046289	7.59144170749841e-06	5.70042658423742e-05	Gata6	0.1	0.08	0.18	0.23	0.47	0.12	0.14	0.18	0.31	0.18
ENSMUSG00000005917	NA	1219.00878397234	1.53309917882473	0.158115117567711	9.69609486055752	3.13259601599485e-22	4.01333743433802e-20	Otx1	5.59	6.85	8.53	2.19	2.11	7.29	4.76	6.38	1.15	1.42
ENSMUSG00000005952	NA	8.55387457035634	-3.02007102876831	0.664392936923983	-4.5456097753698	5.47764388354901e-06	4.28109614643401e-05	Trpv1	0.01	0.04	0	0.04	0.17	0.01	0.03	0.02	0.03	0.07
ENSMUSG00000005994	NA	366.676885586207	8.00357795378325	0.926666274251424	8.63695828387482	5.7729452149313e-18	4.75982190864757e-16	Tyrp1	0.69	0.85	8.97	0.01	0	4.26	4.29	2.4	0.01	0.03
ENSMUSG00000006204	NA	10.770489240612	3.98422849047351	0.945712252380222	4.21293948602842	2.5206861316326e-05	0.000164377554903449	5430419D17Rik	0.06	0.02	0.02	0	0.01	0.01	0.01	0.01	0.01	0
ENSMUSG00000006221	NA	43.9720750971757	-1.9972594535866	0.465811838030545	-4.28769578298185	1.80536113762773e-05	0.000122172255330293	Hspb7	0.06	0.05	0.21	0.26	0.29	0.03	0.12	0.04	0.23	0.24
ENSMUSG00000006386	NA	631.49289666581	-1.87443189727228	0.215568180758142	-8.69530879130678	3.45887823182557e-18	2.90947560358863e-16	Tek	0.72	0.97	1.22	1.81	3.33	0.43	0.84	0.85	1.44	2.47
ENSMUSG00000006403	NA	653.178189703602	-1.57172734702577	0.561132149481113	-2.80099322143485	0.00509455891463686	0.0161618816615766	Adamts4	1.08	1.31	2.59	2.54	3.64	0.22	0.54	0.34	1.56	1.14
ENSMUSG00000006538	NA	17.9705602614365	-2.0188897498992	0.392766116671872	-5.14018308658188	2.74470891583305e-07	2.98582350745398e-06	Ihh	0.08	0.03	0.05	0.17	0.16	0.04	0.04	0.04	0.09	0.08
ENSMUSG00000006586	NA	141.981912284574	-1.51277144891238	0.223428275803284	-6.77072516212896	1.28138490807442e-11	3.68591807322616e-10	Runx1t1	0.16	0.41	0.24	0.54	0.54	0.15	0.39	0.16	0.32	0.52
ENSMUSG00000006651	NA	1158.90207255049	-1.69451160040992	0.170786152231324	-9.9218325272342	3.3455647693709e-23	5.01985416521372e-21	Aplp1	3.76	3.72	4.23	9.24	11.28	1.89	2.57	2.6	4.65	7.15
ENSMUSG00000007480	NA	120.657498454345	-1.79453981481733	0.314898832978635	-5.69878204324462	1.20666374985347e-08	1.82368282702446e-07	Mc5r	0.22	0.2	0.24	0.24	0.52	0.19	0.18	0.19	0.4	0.76
ENSMUSG00000007783	NA	178.892041134208	-1.58485244206544	0.227739423305711	-6.9590605748482	3.42549213845207e-12	1.10565061174262e-10	Cpt1c	0.73	0.57	0.45	0.98	1.34	0.26	0.45	0.38	1.09	0.89
ENSMUSG00000007908	NA	96.6182730941859	-2.05404805705124	0.282382362515837	-7.27399558085376	3.49007408895245e-13	1.34553666554405e-11	Hmgcll1	0.22	0.17	0.22	0.6	0.65	0.06	0.13	0.15	0.49	0.52
ENSMUSG00000008153	NA	8.27101185121471	1.7209493747229	0.707646492542196	2.43193373083847	0.0150184548432479	0.0396909497642484	Clstn3	0.02	0.07	0.07	0.01	0.01	0.02	0.02	0.18	0.01	0.01
ENSMUSG00000008496	NA	61.2297130462219	-3.6661671775103	0.378502810325346	-9.68597082372785	3.45906376983624e-22	4.36444750656231e-20	Pou2f2	0.03	0.03	0.02	0.28	0.56	0.01	0.04	0.03	0.15	0.2
ENSMUSG00000009047	NA	20978.0188190923	-2.70735387565187	0.830069500337586	-3.26159902821486	0.00110785729023894	0.00444076129216114	Gm5965	81.94	344.52	222.97	601.88	1521.61	56.91	9.2	46.36	186.59	262.43
ENSMUSG00000009210	NA	1.73702714934327	3.88341689418796	1.64986203485495	2.35378280859064	0.0185834656461241	0.0473687818084169	2310007L24Rik	0.07	0.12	0.07	0	0	0	0.07	0.03	0	0
ENSMUSG00000009216	NA	9.65463886798486	4.93069319251455	1.17732765288243	4.18803820707244	2.81376154995872e-05	0.000181359127765335	Fam163b	0.07	0.05	0.16	0	0	0.05	0.03	0.02	0	0.01
ENSMUSG00000009292	NA	83.044023720605	-2.90007226705499	0.525968222667705	-5.51377847951698	3.512106074543e-08	4.78283946619082e-07	Trpm2	0.03	0.1	0.2	0.45	0.83	0.03	0.09	0.01	0.34	0.22
ENSMUSG00000009356	NA	404.053218993007	3.11462903074856	0.88550284751837	3.51735631283099	0.000435868260948841	0.00199762957790395	Lpo	6.98	3.56	0.23	0.21	0.43	0.31	0.8	3.29	0.09	0.75
ENSMUSG00000009378	NA	15.4392139331452	-2.13220846201161	0.470894535964254	-4.52799575948673	5.95457763903376e-06	4.59562050871674e-05	Slc16a12	0.01	0.02	0.03	0.06	0.05	0.02	0.01	0.02	0.19	0.09
ENSMUSG00000009545	NA	40.282058287972	-2.75185297912567	0.306049282310456	-8.99153547543429	2.43800172926387e-19	2.28117521353313e-17	Kcnq1	0.06	0.08	0.06	0.39	0.34	0.29	0.05	0.19	0.63	0.32
ENSMUSG00000009876	NA	347.540951432729	-2.76968977180685	0.263572598733118	-10.5082614244409	7.91389925020523e-26	1.5880240001466e-23	Cox4i2	2.36	2.7	1.87	10.79	20.83	1.45	3.05	1.76	6.96	10.57
ENSMUSG00000010064	NA	171.925046540742	-1.96920710628967	0.402407685135572	-4.89356237226495	9.90269104960601e-07	9.46238206719381e-06	Slc38a3	0.48	0.59	0.51	1.1	3.84	0.21	0.28	0.28	0.52	1.26
ENSMUSG00000010122	NA	33.5803276920066	2.28987663469218	0.813157786580104	2.81602989294699	0.00486211424540232	0.0155399180113559	Slc47a1	0.27	0.26	0.22	0	0.01	0.17	0.16	0.2	0	0.12
ENSMUSG00000010311	NA	3.05454277470405	-2.46752467965617	0.979158274994821	-2.52004680210584	0.0117339231310319	0.0325226310113724	Optc	0.01	0.01	0.02	0.03	0.07	0	0.01	0.01	0.02	0.03
ENSMUSG00000010461	NA	197.017458092991	-1.58373832460602	0.33877450781494	-4.67490406766722	2.94091059731703e-06	2.48381673419448e-05	Eya4	0.3	0.41	0.41	0.83	0.76	0.12	0.43	0.2	0.69	0.48
ENSMUSG00000010505	NA	11.0196842554308	5.79916958040812	1.15171197496002	5.03526029640304	4.7719993731751e-07	4.94263989802433e-06	Myt1	0.08	0.21	0.13	0	0	0.05	0.05	0.09	0	0
ENSMUSG00000010529	NA	177.609731187617	-2.42393738662865	0.572976496573293	-4.23043074388757	2.33244247881889e-05	0.000153484114913981	Gm266	0.93	1.14	1.63	2.99	1.45	0.57	0.2	0.07	3.85	2.38
ENSMUSG00000011118	NA	294.585167451186	-2.542750053116	0.727222061131662	-3.49652491174307	0.000471360480057333	0.00213715780599916	Panx3	0.75	0.44	0.88	2.61	4.11	0.06	0.77	0.1	1.45	0.98
ENSMUSG00000011589	NA	5.5206889358936	-2.04130555612773	0.855116778523214	-2.38716583207859	0.0169788305878488	0.0439307788473858	Fsd1	0.01	0.03	0.04	0.02	0.15	0.01	0.02	0	0.04	0.14
ENSMUSG00000012017	NA	2767.84463804205	-1.52202881401687	0.242228911284106	-6.28343167604676	3.31179795664587e-10	7.20078263288994e-09	Scarf2	4.61	7.48	6.91	13.95	18.14	2.7	7.04	4.5	8.94	9.47
ENSMUSG00000012211	NA	6.59285215831892	-2.06497382660567	0.863383563365926	-2.39172242120908	0.0167695196830771	0.0434837848858241	Tex22	0.03	0.08	0	0.04	0.2	0.06	0.02	0	0.07	0.13
ENSMUSG00000013523	NA	24.5347732030365	-2.64983091774787	0.44808146973947	-5.91372573226152	3.34454628269977e-09	5.7723749573435e-08	Bcas1	0.11	0.15	0.13	0.35	0.59	0.09	0.04	0.02	0.13	0.17
ENSMUSG00000013584	NA	265.618676073251	-1.52769772850122	0.269707068786066	-5.66428509040302	1.47638768884409e-08	2.17796607242677e-07	Aldh1a2	0.7	1.02	1.08	1.61	1.83	0.36	1.03	0.54	1.69	1.76
ENSMUSG00000014198	NA	27.8272611808939	1.93425732697697	0.455081045203782	4.2503579249512	2.1342918137419e-05	0.000141789510003475	Zfp385c	0.32	0.33	0.58	0.02	0.02	0.62	0.38	0.45	0.09	0.19
ENSMUSG00000014725	NA	71.2153947297749	2.28070791178176	0.422744744279925	5.39500003877415	6.85235377063783e-08	8.73190145753428e-07	Adam28	0.6	0.28	0.68	0.08	0.06	0.78	0.24	0.55	0.13	0.09
ENSMUSG00000014782	NA	167.917179200095	-1.58750953104652	0.322635546505105	-4.92044211570282	8.63489355231364e-07	8.39055729952063e-06	Plekhg4	0.32	0.27	0.46	0.93	1.65	0.12	0.29	0.2	0.55	0.46
ENSMUSG00000014846	NA	4834.90691047053	1.74324847697614	0.252226533102112	6.911439710708	4.79759427838238e-12	1.48900737108295e-10	Tppp3	66.45	121.43	89.31	17.14	15.48	40.08	70.77	85.51	14.71	24.55
ENSMUSG00000015090	NA	27.635961707018	5.33601647877436	1.03498142979367	5.15566398117705	2.52733755488122e-07	2.77108670023349e-06	Ptgds	0.16	0.13	1.95	0.02	0	0.83	1.29	0.71	0.04	0
ENSMUSG00000015365	NA	4.77672816643267	-2.82439658546945	1.05949701674979	-2.66579003132433	0.0076807647528988	0.0228924726126574	Mov10l1	0.02	0.02	0.04	0.01	0.07	0	0	0	0.05	0.04
ENSMUSG00000015468	NA	480.755281129709	-1.84929867922207	0.251725779726607	-7.34648108441869	2.03493006310403e-13	8.24617036520623e-12	Notch4	0.73	0.83	1.11	2.69	3.26	0.58	0.59	0.34	2.2	2.64
ENSMUSG00000015476	NA	22.8997931360689	-1.82117664627529	0.434467837200605	-4.19174099977027	2.7682191643751e-05	0.000178561929444877	Prrt1	0.13	0.06	0.05	0.24	0.26	0.09	0.07	0.04	0.11	0.3
ENSMUSG00000015568	NA	343.41983313464	-1.63417813514126	0.273610393865167	-5.97264640445849	2.33435494478002e-09	4.15370529971274e-08	Lpl	0.5	0.51	0.95	1.32	1.53	0.24	0.84	0.46	1.43	1.38
ENSMUSG00000015652	NA	146.830739717057	-2.34952649010718	0.40775383556018	-5.76211989981494	8.30639538154515e-09	1.30635519433083e-07	Steap1	0.98	0.62	1.33	1.75	2.66	0.23	0.38	0.23	1.48	3.52
ENSMUSG00000015653	NA	1818.81741496225	-1.61117214192817	0.196752348448073	-8.18883309214166	2.6377103479542e-16	1.63921887482004e-14	Steap2	2.71	3.17	3.9	4.42	6.26	1.91	2.07	1.81	3.86	8.4
ENSMUSG00000015721	NA	3.85200883321809	-5.78717423515824	1.25214328790761	-4.62181468450699	3.80397753998933e-06	3.12094807529666e-05	Nlrp5	0	0	0	0.03	0.04	0	0	0	0.01	0.03
ENSMUSG00000015852	NA	62.9496659285244	-4.8128999848162	0.562750942485591	-8.5524512203539	1.20501652612101e-17	9.20621570758962e-16	Fcrls	0.01	0.03	0.04	0.61	0.89	0.01	0.07	0.02	0.69	0.8
ENSMUSG00000015957	NA	309.18812144269	-1.66957804341676	0.273282919693728	-6.10933916136388	1.00044520614659e-09	1.93075491406391e-08	Wnt11	1.55	1.43	0.83	3.08	5.14	0.78	2.06	1.53	3.02	2.72
ENSMUSG00000016087	NA	539.470289794419	-1.58720751446673	0.216461809332222	-7.3325059943055	2.25888364275314e-13	9.0436795841475e-12	Fli1	0.85	1.15	1.55	2.09	2.76	0.67	1.29	0.82	2.1	2.62
ENSMUSG00000016150	NA	23.3143566751287	-2.56977110969229	0.519211669155458	-4.94937086809363	7.44537562067689e-07	7.36795787061043e-06	Tenm1	0.01	0.01	0.01	0.03	0.06	0	0.02	0.01	0.02	0.14
ENSMUSG00000016200	NA	9.86820633850826	1.86281282434914	0.684300525915397	2.72221451511707	0.00648460343698425	0.0198714020686242	Syt14	0.02	0.05	0.03	0	0.01	0.01	0.01	0.01	0	0.01
ENSMUSG00000016283	NA	53.9324285872886	2.24669339087884	0.497788540324368	4.51334896021281	6.38118986879458e-06	4.89312694589198e-05	H2-M2	1.21	0.36	0.36	0.11	0.11	0.4	1	0.86	0.12	0.15
ENSMUSG00000016494	NA	1592.47184710959	-1.78524111260114	0.245920327839952	-7.25942880884169	3.88728317896146e-13	1.4747767960274e-11	Cd34	4.04	4.74	7.52	11.25	13	2.53	5.86	3.69	10.51	14.05
ENSMUSG00000016624	NA	51.2600794705702	-1.60925213183582	0.456179481196507	-3.52767320357096	0.000419229385721899	0.0019336099194678	Phf21b	0.13	0.2	0.24	0.17	0.58	0.16	0.14	0.02	0.2	0.3
ENSMUSG00000016763	NA	498.711658667254	-1.69611361148257	0.293897768965758	-5.77110067031568	7.87554044298778e-09	1.24683579922017e-07	Scube1	0.92	1.44	1.05	2.65	2.85	0.3	0.94	0.53	1.4	1.57
ENSMUSG00000017002	NA	818.021425526842	3.56454608060962	0.687981178116251	5.18116802318581	2.20500750776882e-07	2.45156208557341e-06	Slpi	32.09	41.03	48.76	1.69	2.94	6.79	6.78	4.82	0.37	1.07
ENSMUSG00000017311	NA	65.9927201574581	-2.02747719147367	0.42819761859513	-4.73491001217055	2.19152312491877e-06	1.91902300975405e-05	Pyy	2.29	1.08	1.58	9.4	3.19	0.88	1.19	0.45	1.29	3.72
ENSMUSG00000017723	NA	203.831519711359	-1.74164436470691	0.403334239018244	-4.31811682773635	1.5736613159784e-05	0.000108572200570092	Wfdc2	3.74	3.27	0.92	5.68	7.2	1.68	0.84	1.13	2.96	4.61
ENSMUSG00000017817	NA	241.74233504268	-2.01502990363146	0.241566632306716	-8.34150761796021	7.3349301588791e-17	4.98625558351557e-15	Jph2	0.31	0.43	0.31	0.94	1.43	0.17	0.33	0.18	0.65	0.68
ENSMUSG00000017969	NA	369.648626593011	-2.04903332173301	0.454175713187299	-4.51154313680353	6.43576912218439e-06	4.92590692692927e-05	Ptgis	1.03	0.91	1.29	2.9	2.74	0.19	1.96	0.63	3.65	2.87
ENSMUSG00000018169	NA	92.345407925908	-1.90111815383381	0.235047594721086	-8.08822637002403	6.05398124025758e-16	3.50100894293368e-14	Mfng	0.26	0.37	0.42	0.83	0.83	0.16	0.36	0.22	0.77	0.92
ENSMUSG00000018340	NA	2148.04177959796	-1.62882231783021	0.202477301335989	-8.04446872356997	8.66203788685275e-16	4.90701500018818e-14	Anxa6	5.5	6.27	8.23	15.77	16.6	2.68	5.19	5.18	10.04	10.75
ENSMUSG00000018486	NA	24.8202726847842	-1.96498264755855	0.491892969065115	-3.99473619493519	6.47663266283333e-05	0.000376241077779871	Wnt9b	0.03	0.04	0.04	0.05	0.16	0.01	0.01	0.04	0.03	0.12
