gene_name.GENEID,gene_name.GENENAME,MUT_12DPA_R1,MUT_12DPA_R2,MUT_12DPA_R3,WT_12DPA_R1,WT_12DPA_R2,MUT_14DPA_R1,MUT_14DPA_R2,MUT_14DPA_R3,WT_14DPA_R1,WT_14DPA_R2
ENSMUSG00000071510,Olfr172,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071516,Hist1h2ai,1975.04,1448.68,2075.82,833.07,611.66,1137.96,1561.66,2078.61,1395.62,1697.8
ENSMUSG00000071517,Gm10334,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071519,Prss3,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071521,Try10,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071522,Olfr263,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071528,Usmg5,2583,1647,1942.01,2276,1530,2060,2497,2355,2357,2541
ENSMUSG00000071531,Gprin2,2193.42,2200.08,3025,560,537,3253.3,2846.15,1794,649,1166.51
ENSMUSG00000071533,Pcnp,6015.98,5466.34,6571.67,4831.87,4614.67,6385.46,8097.35,5973.52,4651.05,6457.15
ENSMUSG00000071537,Klrg2,3804.6,3804,4226,3107,3080,4001.03,4581.35,3996.2,2644,3593.96
ENSMUSG00000071540,3425401B19Rik,0,3,5,8,17,0,6,1,8,9
ENSMUSG00000071547,Nt5dc2,12517.14,11960.36,9136,4912.34,4968,10460.39,13601.2,7762.25,4780,5103
ENSMUSG00000071550,Cfap44,1,2,0,0,1,1,0,2,4,1
ENSMUSG00000071551,Akr1c19,0,0,1,1,0,0,0,0,0,6
ENSMUSG00000071552,Tigit,1,2,0,1,0,3,6,2,0,0
ENSMUSG00000071553,Cpa2,13,5,8,10,13,14,17,11,21,13
ENSMUSG00000071561,BC100530,15340.45,6709.86,2340.67,6152.76,3440.45,2132.14,3915.51,2107.92,4068.74,2824.64
ENSMUSG00000071562,Stfa1,1007.6,6.05,245.13,16.51,6.91,205.08,6.6,258.83,315.8,188.54
ENSMUSG00000071573,Rnls,212,160,151,155.57,113,173,189,173.05,130.47,168
ENSMUSG00000071586,Gm10337,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071591,Gm10339,2,0,1.58,0,0.5,0,1.9,0,0,1
ENSMUSG00000071604,Fam189a2,538,433,537,305,310,673.92,839,706.7,280,478.99
ENSMUSG00000071613,Gm10340,3.44,0,0,3.61,0,0,0,0,0,0
ENSMUSG00000071629,Olfr1477,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071632,2510002D24Rik,483.72,360.93,434.57,270,249.68,332.92,478,348.89,207.65,354.6
ENSMUSG00000071633,Gm4952,5,0,4,1,4,1,3,1,1,2
ENSMUSG00000071636,Rimbp3,3,0,3,1,7,0,3,0,3,8
ENSMUSG00000071644,Eef1g,36242.92,31011.57,35025.1,26101.13,24532.04,34362.96,39189.55,35468.06,24044.54,39561.99
ENSMUSG00000071645,Tut1,1422,1438,1739,1311,1174,1203,1368,1214,900,1505
ENSMUSG00000071646,Mta2,9698.58,9054.94,11069,6330,6474.01,10088,11529,8292.12,5175,8630.06
ENSMUSG00000071647,Eml3,3954.26,3225.99,3616.97,1983.26,2148.89,3734,4030.96,2894.99,1805,2553
ENSMUSG00000071648,Rom1,146,103,125,109,123,146,165,126,176,165
ENSMUSG00000071649,B3gat3,1041,889,1127,1089,1183,921,1328.98,885,963,1258
ENSMUSG00000071650,Ganab,8784.93,7721,9789,7202,8147.77,8496,10180.96,7964,6679,11222
ENSMUSG00000071652,Ints5,2752.56,2438,3195.09,2184,2279.08,2504.56,2848.59,2334,1716.03,3037
ENSMUSG00000071653,1810009A15Rik,848.57,636.4,694.52,731.43,613.7,789.77,839.16,702.72,598.39,777.53
ENSMUSG00000071654,Uqcc3,817,618,614,471,427,787,964,729,582,723
ENSMUSG00000071655,Ubxn1,6515,5693.34,5984,4726,3633,6802.01,8409.39,5409,4031.14,5219.12
ENSMUSG00000071656,Lrrn4cl,26,25,32,68,37,15,44,24,40,55
ENSMUSG00000071657,Bscl2,3712.89,3475.43,3843,2736,2640.5,4607.03,4212.11,3858,2460,3127.68
ENSMUSG00000071658,Gng3,8,2,2,0,0,1,1,5,1,2
ENSMUSG00000071659,Hnrnpul2,14657.28,14987.76,15986.42,10408.76,11252.12,13717,13921.38,10142.98,7334,10984.02
ENSMUSG00000071660,Ttc9c,2351,2123,2845,2097,1653,2159,2485,1748,1501,2430
ENSMUSG00000071661,Zbtb3,146,150,178,185,132,92,134,107,101,193
ENSMUSG00000071662,Polr2g,1155,773,1038,1020,841,775,1289,988,888,1091
ENSMUSG00000071665,Foxr2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071669,Snx29,1697,1364,1365,1529,1952,1780,1878,1332.89,1492,1850
ENSMUSG00000071679,Zcchc16,0,0,0,0,0,0,0,0,3,7
ENSMUSG00000071686,Tex13a,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071691,Gm960,62,52,44,31,23,74,44,46,45,42
ENSMUSG00000071708,Sms,1041.08,785.5,1331.39,863.5,582.16,884.18,1350.53,1094.72,807.54,1129.43
ENSMUSG00000071711,Mpst,2289,1649,1741.01,1290.74,1169,2082,2826,2276,1123,1654
ENSMUSG00000071713,Csf2rb,720.31,439.29,1603.97,432.1,535.32,447.69,576.76,469.16,421.56,744.31
ENSMUSG00000071714,Csf2rb2,421.05,317.85,799.84,242.9,231.32,291.53,467.24,275.8,226.44,444.64
ENSMUSG00000071715,Ncf4,181,43,364,110,111,91,87,128,62,140
ENSMUSG00000071716,Apol7e,1.02,0,0,2,0,1.01,1.02,0,0,1.34
ENSMUSG00000071719,Tmem28,254,328,299,45,70,163,289,142,45.51,116
ENSMUSG00000071721,1700010D01Rik,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071722,Spin4,198,169,205,276,262,147,329,181,290,453
ENSMUSG00000071723,Gspt2,23,12,46,22,23,11,16,29,44,66
ENSMUSG00000071724,Smpd5,17,12,11,5,4,12,5,3,10,9
ENSMUSG00000071726,Gm5941,0,0,1,2,1,2,0,1,0,2
ENSMUSG00000071738,Gm4937,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071745,DXBay18,0,51.83,0,0,0,30.56,43.23,29.29,0,0
ENSMUSG00000071748,Gm14698,657.68,536.71,566.2,284.31,249.45,445.33,720.57,603.53,261.48,568.89
ENSMUSG00000071749,4933412E24Rik,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071757,Zhx2,2393,2262,2160.84,1981,1822,2195,2554,1581,1394,2150
ENSMUSG00000071764,Olfr1320,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071766,Rhox12,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071767,Rhox7a,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071769,Rhox3h,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071770,Rhox4e,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071771,Rhox4b,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071772,Rhox3a,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071773,Rhox1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071788,Gm14525,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071815,Fthl17,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071816,Ssxb5,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071847,Apcdd1,1938,2340,2181,2018.93,3245.07,1715,2476,1703,1767,5611.03
ENSMUSG00000071855,Ccdc112,231,234,255,246,271,143,280,179,191.48,349
ENSMUSG00000071856,Mcc,5273,5659.17,5804,2638.93,3132,6113,5559.8,4337.88,2314,3643.05
ENSMUSG00000071858,Gm94,9916,12456,9221,22707.18,7569,22815,27224.99,14445.97,17279,12710
ENSMUSG00000071862,Lrrtm2,5,3,5,7,9,0,3,3,8,8
ENSMUSG00000071866,Ppia,61309.08,47301.1,54192.36,39202.79,32152.36,50050.08,68262.68,54620.09,38379.29,48301.15
ENSMUSG00000071890,Mroh9,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071893,Vmn1r4,21,19,17,13,18,25,23,6,20,26
ENSMUSG00000071909,Gm806,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071937,Adam25,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071952,Gm10351,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000071984,Fndc1,5297.98,6126.99,7213,13877.07,15113.55,3827,11959.97,5434.87,10449.99,14040.22
ENSMUSG00000072049,Vmn2r121,0,0,0,0,1.77,0,5.97,0,0,6.48
ENSMUSG00000072066,6720489N17Rik,91.53,42,60.51,51.01,61.81,46,42.48,43.61,81.57,142.68
ENSMUSG00000072082,Ccnf,1433.77,582,1279,730,803,356,563.08,859.06,652,1491.86
ENSMUSG00000072100,Gm16390,0,4,6,0,0,3,0,7,1,0
ENSMUSG00000072115,Ang,164.1,114,130,125,118,275,142.05,109,179.18,189.06
ENSMUSG00000072145,BC061237,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000072188,Gm10354,0,0,0,0,0,0,0,0,0,1.66
ENSMUSG00000072214,Sept5,13833.65,14547.19,12143.52,8430.27,7854.13,16433.78,16191.44,12136.17,6753.54,7284.73
ENSMUSG00000072235,Tuba1a,12533.73,9443.1,11292.82,13835.67,12926.91,10343.84,18353.25,12577.9,12729.05,14296.81
ENSMUSG00000072244,Trim6,11,3,4,3,12,4,4,8,6,16
ENSMUSG00000072249,Gm5635,1,0,1,0,0,5,0,1,0,0
ENSMUSG00000072258,Taf1a,347,374,318,317,351,301,264,210,273,437
ENSMUSG00000072259,Gm5592,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000072294,Klf12,1836,1443,1826,679,866.92,1656.72,1198,1101.99,671,1105.82
ENSMUSG00000072295,Als2cr11,3,0,0,2,0,0,0,2,0,0
ENSMUSG00000072381,Gm10355,9.3,2.46,1.68,0,0,1.32,0,0,0,0
ENSMUSG00000072419,Dppa2,4,1.34,1,7.77,2.2,1.72,6.72,6,1,2.38
ENSMUSG00000072423,Psmb11,5,1,3,1,0,0,0,2,1,1
ENSMUSG00000072437,Nanos1,83,46,93,49,37,54,75,57,47,57
ENSMUSG00000072473,1700024G13Rik,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000072476,Gm9008,3.81,0,0.42,3.37,0,0,0.96,0,1.99,0
ENSMUSG00000072479,Xlr5b,0,0,2,0,0,0,0,0,0,0
ENSMUSG00000072487,Mroh5,0,0,0,0,0,0,2,0,0,0
ENSMUSG00000072494,Ppp1r3e,113,89,142.01,195,216,296,82,71,252,257
ENSMUSG00000072501,Phf20l1,5938,5224.13,5177,6006,5851.01,5288,6076,4628,5829,8942.45
ENSMUSG00000072511,Hhla1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000072553,Gm525,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000072568,Fam84b,2963.04,3515,3428.8,1865,1843,4311,4579,3516,1995,2979
ENSMUSG00000072571,Tmem253,9,12,3,3,1,1,3,1,4,0
ENSMUSG00000072572,Slc39a2,563.38,618.36,650.2,491,460,740.96,828,544.34,500,604
ENSMUSG00000072573,Gm10369,0,1,0,2,0,0,0,2,0,1
ENSMUSG00000072575,Eddm3b,2,3,2,1,1,6,5,3,0,7
ENSMUSG00000072582,Ptrh2,1464,1093.99,1360.52,1022,1028,1083,1694,1249,879,1457
ENSMUSG00000072584,Gm7489,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000072595,4930503E14Rik,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000072596,Ear2,2,0,3,0,0,0,1,0,1,0
ENSMUSG00000072598,Ang6,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000072601,Ear1,0,0,0,0,0,0,0,0,0,3
ENSMUSG00000072605,Gm10376,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000072612,Gm10382,21,29,22,15,17,23,41,21,16,23
ENSMUSG00000072618,Gm10384,1,2,2,0,1,0,1,2,1,7
ENSMUSG00000072620,Slfn2,184,97,487.11,285.95,124,64.85,285,152.76,227,294
ENSMUSG00000072623,Zfp9,457,368,579,838,735.65,237,641,363,852,704
ENSMUSG00000072624,Gm5460,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000072625,Gdf2,0,1,0,2,0,0,0,0,0,0
ENSMUSG00000072640,Lyrm9,331,235,212,347,353,231,192,272,339,351
ENSMUSG00000072647,Adam1a,170.3,131.88,130.95,168.44,128.21,102.77,119.67,104.78,158.71,178.63
